EmployeeID,Age,Gender,Position,Years_of_Experience,Base_Salary,Payroll_Taxes,Benefits,Merit_Contributions,Exceeds_Quota,Annual_Overhead_Costs,Total_Compensation,Cost_per_Employee
1,53,Female,Engineer,8,114664,3728,2470,0,1,16613,120862,13855.74
2,39,Male,Sales,27,91389,4365,9114,4,0,11986,104868,13695.8
3,32,Male,Engineer,27,39435,7492,7131,8,1,8517,54058,13187.7
4,45,Female,Engineer,34,84340,3698,3353,0,0,15589,91391,13561.03
5,43,Male,Technician,21,74078,10186,4783,2,0,18918,89047,13537.59
6,47,Male,Engineer,30,108832,3395,4831,3,0,8735,117058,13817.7
7,35,Male,Manager,33,81293,10400,7063,0,1,16062,98756,13634.68
8,35,Male,Manager,28,108781,11082,2357,0,0,14352,122220,13869.32
9,48,Male,Clerk,33,90403,7171,5019,7,0,18046,102593,13673.05
10,48,Female,Sales,5,59124,7360,9575,1,0,13434,76059,13407.71
11,27,Female,Engineer,19,73919,5502,2667,7,1,7590,82088,13468.0
12,46,Female,Engineer,4,65247,3717,6468,6,1,6063,75432,13401.44
13,26,Male,Technician,17,92752,5782,7127,9,1,9324,105661,13703.73
14,48,Male,Manager,28,86573,7946,3145,9,1,15787,97664,13623.76
15,54,Male,Sales,30,89101,8486,7467,1,1,14111,105054,13697.66
16,26,Female,Clerk,29,56646,11335,8819,5,0,10342,76800,13415.12
17,45,Male,Manager,6,53049,7980,6185,5,1,5005,67214,13319.26
18,57,Male,Clerk,24,109605,10266,5719,2,1,12489,125590,13903.02
19,36,Female,Technician,29,98385,7491,4745,1,1,13659,110621,13753.33
20,46,Male,Technician,31,70158,10192,9483,0,0,19043,89833,13545.45
21,49,Female,Engineer,33,95417,8588,9345,5,1,17362,113350,13780.62
22,51,Female,Sales,21,53289,10651,2539,4,1,13195,66479,13311.91
23,52,Female,Clerk,32,39823,6636,4779,8,0,10966,51238,13159.5
24,40,Male,Manager,23,90160,4167,6964,0,1,13837,101291,13660.03
25,39,Male,Technician,33,71975,4062,6136,6,0,5117,82173,13468.85
26,27,Male,Engineer,3,39540,5156,6835,4,0,16120,51531,13162.43
27,31,Male,Engineer,18,46364,10860,5775,4,0,18917,62999,13277.11
28,45,Male,Clerk,25,34611,8161,8042,1,0,7551,50814,13155.26
29,33,Male,Technician,31,57663,8305,8645,2,0,19309,74613,13393.25
30,42,Male,Sales,3,81991,9541,9102,6,1,18234,100634,13653.46
31,28,Female,Technician,24,87679,7729,9312,5,0,19909,104720,13694.32
32,49,Male,Clerk,32,60977,10330,7320,1,0,10560,78627,13433.39
33,38,Female,Clerk,22,79115,8334,7024,5,1,9289,94473,13591.85
34,33,Male,Technician,23,118223,11924,8132,1,0,5846,138279,14029.91
35,50,Male,Clerk,2,90890,7330,9891,1,1,15954,108111,13728.23
36,26,Male,Technician,27,96387,11010,4508,1,1,18703,111905,13766.17
